"Gamla Skeppsbrogatan","1-9A","Norra Smedjegatan - Drottninggatan","Södra"
"Norra Smedjegatan ","29-33","Östra Vittusgatan - Östra Köpmansgatan","Västra"
"Östra Köpmansgatan","2A-2B","Östra Hamngatan - Bredgatan","Norra"
"","","",""
"Onsdag 13-16","Nummer","Mellan gator","Sida av gatan"
"Urmakaregränd","","","Östra"
"Ronnebygatan","20-28","Drottninggatan - Norra Smedjegatan","Norra"
"Bredgatan","2-18","Kyrkogatan - Östra Köpmansgatan","Östra"
"Kyrkogatan","12-20","Drottninggatan - Stortorget","Norra"
"Fortifikationsgatan","2-12","Drottninggatan - Stortorget","Norra"
"Östra Prinsgatan","6-22","Drottninggatan - Södra Smedjegatan","Norra"
"Amiralitetstorget","","Södra Kungsgatan - Södra Smedjegatan","Södra"
"Vallgatan","","Amiralitetstorget - Drottninggatan","Södra"
"Varvsgatan","2-14","Amiralitetstorget - Skepparegatan","Norra"
"Västra Prinsgatran","13-21","Arklimästaregatan - Konstapelsgatan","Södra"
"Skepparegatan","28-34","Västra Prinsgatan - Hantverkaregatan","Östra"
"Hantverkaregatan","12-30","Arklimästaregatan - Styrmansgatan","Norra"
"Finnagränd","1-9","",""
"Högabergsgatan","","Stora Möllebacksgränd - Bryggaregatan",""
"","","",""
"Torsdag 9-12","Nummer","Mellan gator","Sida av gatan"
"Alamedan","9-25","Amiralitetstorget - Drottninggatan","Södra"
"Landbrogatan","","Parkgatan - Östra Vittusgatan","Östra"
"Södra Smedjegatan ","1-5","Stortorget - Amiralitetstorget","Västra"
"Kyrkogatan","2A-2E","Östra Hamngatan - Bredgatan","Norra"
"Ronnebygatan ","10-18","Bredgatan - Drottninggatan","Norra"
"Amiralitetstorget ","8-12","Vallgatan - Alamedan","Östra"
"Varvsgatan","","Styrmansgatan - Arklimästaregatan","Södra"
"","","",""
"Torsdag 13-16","Nummer","Mellan gator","Sida av gatan"
"Stora Möllebacksgränd","7A-9D","","Västra"
"Hantverkaregatan ","2-10","Borgmästaregatan - Arklimästaregatan","Norra"
"Hantverkaregatan ","13-35","Styrmansgatan - Arklimästaregatan","Södra"
"Västra Prinsgatan","20-46","Arklimästaregatan - Styrmansgatan","Norra"
"Arklimästaregatan ","14-24","Varvsgatan - Västra Prinsgatan","Östra"
"Södra Smedjegatan ","2-6","Östra Prinsgatan - Fortifikationsgatan","Östra"
"Östra Prinsgatan Aparellen","1A-1C","Drottninggatan - Hästkvarnsgatan","Båda"
"Bredgatan ","1-7","Ronnebygatan - Kyrkogatan","Västra"
"Ronnebygatan","2-8","Östra Hamngatan - Bredgatan","Norra"
"Östra Köpmansgatan","17-23","Norra Smedjegatan - Drottninggatan","Södra"
"Östra Vittusgatan ","2-18","Drottninggatan - Norra Smedjegatan","Norra"
"Arvid Nilssonsgatan ","10A-20","Gamla Skeppsbrogatan - Skeppsbrokajen","Östra"
"Nya Skeppsbrogatan","","Norra Smedjegatan - Norra Kungsgatan","Norra"
"Stenbergsgränd ","","Drottninggatan - Norra Smedjegatan","Norra"
"","","",""
"Fredag 9-12","Nummer","Mellan gator","Sida av gatan"
"Skomakaregatan ","5-15","Styrmansgatan - Skepparegatan","Södra"
"Konstapelsgatan ","27-31","Hantverkaregatan - Västra Prinsgatan","Västra"
"Alamedan ","10-24","Drottninggatan - Södra Smedjegatan","Norra"
"Östra Prinsgatan","","Kungsbron - Drottninggatan","Norra"
"Kopmansbacke","","Parkgatan - Ronnebygatan","Västra"
"Ostermansgatan","","Gamla Skeppsbrogatan - Spårgatan","Östra"
"Östra Köpmansgatan","30-36","Norra Smedjegatan - Norra Kungsgatan","Norra"
"Norra Kungsgatan","10-14","Stenbergsgränd - Norra Kungsgatan","Östra"
"","","",""
"Fredag 13-16","Nummer","Mellan gator","Sida av gatan"
"Styrmansgatan","","Hantverkaregatan - Västra Prinsgatan","Västra"
"Fortifikationsgatan","1-11 D","Södra Smedjegatan - Drottninggatan","Södra"
"Drottninggatan","59-65A","Spårgatan - Gamla Skeppsbrogatan","Västra"
"Spårgatan","","Norra Kungsgatan - Norra Smedjegatan","Södra"
